record_id,resource_id,resource_type,sample_id,experiment_id,analysis_type,parameter,value,unit,technical_replicate_no,technical_replicate_total,method_id,method,analyst_id,analyst_name,analyst_email,lab,existing_QC_status,note,created_at,protocol_version
(03)1e07,25,almond hulls,50,41,compositional,glucose,30.63,% dry weight,1,,38,knife mill (2mm),14.0,,xkang2@lbl.gov,tiny,pass,,2026-07-17 19:04:01.178192,
(03)1f0b,25,almond hulls,50,41,compositional,xylan,17.46,% dry weight,3,,38,knife mill (2mm),14.0,,xkang2@lbl.gov,tiny,pass,,2026-07-17 19:04:01.178192,
(03)677d,25,almond hulls,50,41,compositional,lignin,19.47,% dry weight,1,,38,knife mill (2mm),14.0,,xkang2@lbl.gov,tiny,pass,,2026-07-17 19:04:01.178192,
(03)8660,25,almond hulls,50,41,compositional,xylose,19.7,% dry weight,2,,38,knife mill (2mm),14.0,,xkang2@lbl.gov,tiny,pass,,2026-07-17 19:04:01.178192,
(03)8c53,25,almond hulls,50,41,compositional,glucose,31.27,% dry weight,3,,38,knife mill (2mm),14.0,,xkang2@lbl.gov,tiny,pass,,2026-07-17 19:04:01.178192,
(03)9a1e,25,almond hulls,50,41,compositional,lignin,19.86,% dry weight,2,,38,knife mill (2mm),14.0,,xkang2@lbl.gov,tiny,pass,,2026-07-17 19:04:01.178192,
(03)9fbf,25,almond hulls,50,41,compositional,glucan,27.57,% dry weight,1,,38,knife mill (2mm),14.0,,xkang2@lbl.gov,tiny,pass,,2026-07-17 19:04:01.178192,
(03)ad41,25,almond hulls,50,41,compositional,lignin,19.15,% dry weight,3,,38,knife mill (2mm),14.0,,xkang2@lbl.gov,tiny,pass,,2026-07-17 19:04:01.178192,
(03)b32d,25,almond hulls,50,41,compositional,xylan,17.34,% dry weight,2,,38,knife mill (2mm),14.0,,xkang2@lbl.gov,tiny,pass,,2026-07-17 19:04:01.178192,
(03)d213,25,almond hulls,50,41,compositional,xylose,19.31,% dry weight,1,,38,knife mill (2mm),14.0,,xkang2@lbl.gov,tiny,pass,,2026-07-17 19:04:01.178192,
(03)d898,25,almond hulls,50,41,compositional,glucan,27.47,% dry weight,2,,38,knife mill (2mm),14.0,,xkang2@lbl.gov,tiny,pass,,2026-07-17 19:04:01.178192,
(03)e36d,25,almond hulls,50,41,compositional,xylan,16.99,% dry weight,1,,38,knife mill (2mm),14.0,,xkang2@lbl.gov,tiny,pass,,2026-07-17 19:04:01.178192,
(03)e546,25,almond hulls,50,41,compositional,xylose,19.84,% dry weight,3,,38,knife mill (2mm),14.0,,xkang2@lbl.gov,tiny,pass,,2026-07-17 19:04:01.178192,
(03)f1df,25,almond hulls,50,41,compositional,glucan,28.15,% dry weight,3,,38,knife mill (2mm),14.0,,xkang2@lbl.gov,tiny,pass,,2026-07-17 19:04:01.178192,
(03)fa75,25,almond hulls,50,41,compositional,glucose,30.52,% dry weight,2,,38,knife mill (2mm),14.0,,xkang2@lbl.gov,tiny,pass,,2026-07-17 19:04:01.178192,
(04)0340,31,almond shells,148,27,compositional,lignin,30.02,% dry weight,3,,38,knife mill (2mm),,,,capstan,pass,,2026-07-17 19:04:01.178192,
(04)2869,31,almond shells,148,27,compositional,lignin,30.99,% dry weight,1,,38,knife mill (2mm),,,,capstan,pass,,2026-07-17 19:04:01.178192,
(04)5f38,31,almond shells,148,27,compositional,glucan,20.18,% dry weight,3,,38,knife mill (2mm),,,,capstan,pass,,2026-07-17 19:04:01.178192,
(04)68e4,31,almond shells,148,27,compositional,xylan,15.17,% dry weight,3,,38,knife mill (2mm),,,,capstan,pass,,2026-07-17 19:04:01.178192,
(04)6ff4,31,almond shells,148,27,compositional,xylan,17.03,% dry weight,2,,38,knife mill (2mm),,,,capstan,pass,,2026-07-17 19:04:01.178192,
(04)8000,31,almond shells,148,27,compositional,glucan,22.18,% dry weight,2,,38,knife mill (2mm),,,,capstan,pass,,2026-07-17 19:04:01.178192,
(04)8271,31,almond shells,148,27,compositional,glucan,21.56,% dry weight,1,,38,knife mill (2mm),,,,capstan,pass,,2026-07-17 19:04:01.178192,
(04)a7a4,31,almond shells,148,27,compositional,glucose,22.42,% dry weight,3,,38,knife mill (2mm),,,,capstan,pass,,2026-07-17 19:04:01.178192,
(04)aa6b,31,almond shells,148,27,compositional,xylose,19.35,% dry weight,2,,38,knife mill (2mm),,,,capstan,pass,,2026-07-17 19:04:01.178192,
(04)c1d7,31,almond shells,148,27,compositional,xylose,17.24,% dry weight,3,,38,knife mill (2mm),,,,capstan,pass,,2026-07-17 19:04:01.178192,
(04)c311,31,almond shells,148,27,compositional,glucose,23.95,% dry weight,1,,38,knife mill (2mm),,,,capstan,pass,,2026-07-17 19:04:01.178192,
(04)d679,31,almond shells,148,27,compositional,xylan,17.04,% dry weight,1,,38,knife mill (2mm),,,,capstan,pass,,2026-07-17 19:04:01.178192,
(04)e941,31,almond shells,148,27,compositional,xylose,19.37,% dry weight,1,,38,knife mill (2mm),,,,capstan,pass,,2026-07-17 19:04:01.178192,
(04)ec17,31,almond shells,148,27,compositional,glucose,24.64,% dry weight,2,,38,knife mill (2mm),,,,capstan,pass,,2026-07-17 19:04:01.178192,
(04)ef2c,31,almond shells,148,27,compositional,lignin,30.71,% dry weight,2,,38,knife mill (2mm),,,,capstan,pass,,2026-07-17 19:04:01.178192,
(0a)0950,37,tomato pomace,96,29,compositional,xylose,7.14,% dry weight,1,,33,oven dry + knife mill (2mm),,,,pinecrest,,,2026-07-17 19:04:01.178192,
(0a)16e9,37,tomato pomace,96,29,compositional,glucose,16.24,% dry weight,3,,33,oven dry + knife mill (2mm),,,,pinecrest,,,2026-07-17 19:04:01.178192,
(0a)261e,37,tomato pomace,96,29,compositional,xylose,9.59,% dry weight,3,,33,oven dry + knife mill (2mm),,,,pinecrest,,,2026-07-17 19:04:01.178192,
(0a)295a,37,tomato pomace,96,29,compositional,glucose,15.46,% dry weight,2,,33,oven dry + knife mill (2mm),,,,pinecrest,,,2026-07-17 19:04:01.178192,
(0a)3735,37,tomato pomace,96,29,compositional,glucose,14.54,% dry weight,1,,33,oven dry + knife mill (2mm),,,,pinecrest,,,2026-07-17 19:04:01.178192,
(0a)66c7,37,tomato pomace,96,29,compositional,xylan,6.85,% dry weight,2,,33,oven dry + knife mill (2mm),,,,pinecrest,,,2026-07-17 19:04:01.178192,
(0a)719f,37,tomato pomace,96,29,compositional,glucan,13.08,% dry weight,1,,33,oven dry + knife mill (2mm),,,,pinecrest,,,2026-07-17 19:04:01.178192,
(0a)7a1b,37,tomato pomace,96,29,compositional,lignin,32.2,% dry weight,3,,33,oven dry + knife mill (2mm),,,,pinecrest,,,2026-07-17 19:04:01.178192,
(0a)afd7,37,tomato pomace,96,29,compositional,glucan,13.92,% dry weight,2,,33,oven dry + knife mill (2mm),,,,pinecrest,,,2026-07-17 19:04:01.178192,
(0a)b2cd,37,tomato pomace,96,29,compositional,xylan,8.44,% dry weight,3,,33,oven dry + knife mill (2mm),,,,pinecrest,,,2026-07-17 19:04:01.178192,
(0a)bfa4,37,tomato pomace,96,29,compositional,glucan,14.61,% dry weight,3,,33,oven dry + knife mill (2mm),,,,pinecrest,,,2026-07-17 19:04:01.178192,
(0a)c0df,37,tomato pomace,96,29,compositional,xylan,6.28,% dry weight,1,,33,oven dry + knife mill (2mm),,,,pinecrest,,,2026-07-17 19:04:01.178192,
(0a)d246,37,tomato pomace,96,29,compositional,lignin,33.42,% dry weight,1,,33,oven dry + knife mill (2mm),,,,pinecrest,,,2026-07-17 19:04:01.178192,
(0a)e6b0,37,tomato pomace,96,29,compositional,lignin,33.12,% dry weight,2,,33,oven dry + knife mill (2mm),,,,pinecrest,,,2026-07-17 19:04:01.178192,
(0a)fd49,37,tomato pomace,96,29,compositional,xylose,7.78,% dry weight,2,,33,oven dry + knife mill (2mm),,,,pinecrest,,,2026-07-17 19:04:01.178192,
(0d)4993,7,sargassum,52,39,compositional,glucan,10.17,% dry weight,1,,39,as is,14.0,,xkang2@lbl.gov,hairpin,pass,,2026-07-17 19:04:01.178192,
(0d)4994,7,sargassum,52,39,compositional,glucan,9.92,% dry weight,2,,39,as is,14.0,,xkang2@lbl.gov,hairpin,pass,,2026-07-17 19:04:01.178192,
(0d)4995,7,sargassum,52,39,compositional,glucan,9.98,% dry weight,3,,39,as is,14.0,,xkang2@lbl.gov,hairpin,pass,,2026-07-17 19:04:01.178192,
(0d)4996,7,sargassum,52,39,compositional,glucose,11.3,% dry weight,1,,39,as is,14.0,,xkang2@lbl.gov,hairpin,pass,,2026-07-17 19:04:01.178192,
(0d)4997,7,sargassum,52,39,compositional,glucose,11.02,% dry weight,2,,39,as is,14.0,,xkang2@lbl.gov,hairpin,pass,,2026-07-17 19:04:01.178192,
(0d)4998,7,sargassum,52,39,compositional,glucose,11.08,% dry weight,3,,39,as is,14.0,,xkang2@lbl.gov,hairpin,pass,,2026-07-17 19:04:01.178192,
(0d)4999,7,sargassum,52,39,compositional,xylan,4.81,% dry weight,1,,39,as is,14.0,,xkang2@lbl.gov,hairpin,pass,,2026-07-17 19:04:01.178192,
(0d)5000,7,sargassum,52,39,compositional,xylan,4.3,% dry weight,2,,39,as is,14.0,,xkang2@lbl.gov,hairpin,pass,,2026-07-17 19:04:01.178192,
(0d)5001,7,sargassum,52,39,compositional,xylan,4.11,% dry weight,3,,39,as is,14.0,,xkang2@lbl.gov,hairpin,pass,,2026-07-17 19:04:01.178192,
(0d)5002,7,sargassum,52,39,compositional,xylose,5.46,% dry weight,1,,39,as is,14.0,,xkang2@lbl.gov,hairpin,pass,,2026-07-17 19:04:01.178192,
(0d)5003,7,sargassum,52,39,compositional,xylose,4.89,% dry weight,2,,39,as is,14.0,,xkang2@lbl.gov,hairpin,pass,,2026-07-17 19:04:01.178192,
(0d)5004,7,sargassum,52,39,compositional,xylose,4.67,% dry weight,3,,39,as is,14.0,,xkang2@lbl.gov,hairpin,pass,,2026-07-17 19:04:01.178192,
(0d)5005,7,sargassum,52,39,compositional,lignin,25.4,% dry weight,1,,39,as is,14.0,,xkang2@lbl.gov,hairpin,pass,,2026-07-17 19:04:01.178192,
