record_id,resource_name,parameter_name,analysis_type,unit,observed_value,group_mean,group_std,group_n,z_score,severity,analyst_name,analyst_email,qc_pass,note,created_at,provider_codename,sample_date,repl_no
(26)7272,tomato pomace,ti,,ppm,3.48,3.606666666666667,0.07607014306984512,6,1.665129859823791,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,oakleaf,,
(26)0be0,tomato pomace,s,,ppm,1530.0,1657.0,122.8413611126155,10,1.0338537350100838,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,oakleaf,,
(26)a23d,tomato pomace,zn,,ppm,43.0,27.610000000000003,6.465197427594751,10,2.3804377472391502,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,oakleaf,,
(69)3b52,tomato pomace,al,,ppm,17.8,8.923333333333334,6.013546928948561,6,1.476111647842201,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,pinecrest,,
(69)66e5,tomato pomace,ca,,ppm,2570.0,1890.0,593.936023490746,6,1.1449044562130266,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,pinecrest,,
(69)fb3a,tomato pomace,k,,ppm,20300.0,11193.333333333334,7339.03172541628,6,1.240853971938665,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,pinecrest,,
(69)7ba0,tomato pomace,mg,,ppm,1550.0,2118.3333333333335,398.3675020212701,6,1.4266558653747523,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,pinecrest,,
(69)1bde,tomato pomace,mn,,ppm,17.8,32.739999999999995,10.148475528647422,10,1.472142289531754,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,pinecrest,,
(69)eb00,tomato pomace,na,,ppm,1440.0,827.3333333333334,563.2344686422047,6,1.0877648666347226,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,pinecrest,,
(69)0335,tomato pomace,nd,,ppm,7.11,4.1883333333333335,2.7199515927065074,6,1.0741612734951071,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,pinecrest,,
(69)1a06,tomato pomace,p,,ppm,2540.0,3286.6666666666665,667.8822251465199,6,1.1179615784846841,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,pinecrest,,
(69)c905,tomato pomace,si,,ppm,15.0,9.5,3.2093613071762426,6,1.7137366203368285,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,pinecrest,,
(69)f2b1,tomato pomace,ca,,ppm,2730.0,1890.0,593.936023490746,6,1.4142937400278563,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,pinecrest,,
(69)8315,tomato pomace,cu,,ppm,14.6,10.98,3.3631334595383913,10,1.0763771475476516,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,pinecrest,,
(69)0f35,tomato pomace,k,,ppm,21000.0,11193.333333333334,7339.03172541628,6,1.3362344016996899,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,pinecrest,,
(69)dd28,tomato pomace,mn,,ppm,18.3,32.739999999999995,10.148475528647422,10,1.422873805946354,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,pinecrest,,
(69)5280,tomato pomace,na,,ppm,1530.0,827.3333333333334,563.2344686422047,6,1.2475562235397146,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,pinecrest,,
(69)aa3d,tomato pomace,nd,,ppm,7.31,4.1883333333333335,2.7199515927065074,6,1.1476919938712693,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,pinecrest,,
(6d)a6af,tomato pomace,mg,,ppm,2560.0,2118.3333333333335,398.3675020212701,6,1.1086915082824313,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,riverstone,,
(6d)c741,tomato pomace,na,,ppm,232.0,827.3333333333334,563.2344686422047,6,1.0569902349345022,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,riverstone,,
(6d)4e82,tomato pomace,p,,ppm,4120.0,3286.6666666666665,667.8822251465199,6,1.247724975987371,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,riverstone,,
(6d)3e18,tomato pomace,na,,ppm,232.0,827.3333333333334,563.2344686422047,6,1.0569902349345022,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,riverstone,,
(6d)a2d8,tomato pomace,nd,,ppm,0.0,4.1883333333333335,2.7199515927065074,6,1.5398558358774694,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,riverstone,,
(6d)241f,tomato pomace,s,,ppm,1520.0,1657.0,122.8413611126155,10,1.1152595409163897,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,riverstone,,
(fe)f915,grape pomace,mg,,ppm,1040.0,929.0,103.83640979926068,4,1.0689891938154272,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,maplewood,,
(fe)6131,grape pomace,ti,,ppm,0.0,2.925,1.9551214796017151,4,1.496070720166126,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,maplewood,,
(fe)64dd,grape pomace,al,,ppm,14.8,17.225,1.6173538058610841,4,1.4993627190365582,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,maplewood,,
(fe)8bdb,grape pomace,na,,ppm,-55.0,-189.25,90.01620224529952,4,1.4913981777876024,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,maplewood,,
(fe)9b50,grape pomace,nd,,ppm,7.4,7.1625,0.19737865470545024,4,1.2032709431241382,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,maplewood,,
(fe)3456,grape pomace,si,,ppm,18.0,23.325,4.437247645406627,4,1.2000682462499834,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,maplewood,,
(1b)7f08,grape pomace,mn,,ppm,7.0,29.12857142857143,20.545049224059984,7,1.077075610150255,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,ebony,,
(1b)c568,grape pomace,s,,ppm,1000.0,1263.0,256.40397812826535,7,1.025725115186922,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,ebony,,
(1b)764e,grape pomace,zn,,ppm,14.2,12.385714285714286,1.6945290116809952,7,1.070672559619335,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,ebony,,
(1b)82c1,grape pomace,cu,,ppm,7.0,11.785714285714286,3.0481844713580863,7,1.5700212144910186,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,ebony,,
(1b)c1da,grape pomace,mn,,ppm,7.0,29.12857142857143,20.545049224059984,7,1.077075610150255,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,ebony,,
(1b)d08e,grape pomace,p,,ppm,1700.0,2005.0,228.10816147900826,4,1.337084995216481,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,ebony,,
(1b)b586,grape pomace,s,,ppm,921.0,1263.0,256.40397812826535,7,1.3338326592924994,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,ebony,,
(1b)21a6,grape pomace,si,,ppm,28.5,23.325,4.437247645406627,4,1.1662635069189984,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,ebony,,
(37)b44a,almond shells,mn,,ppm,7.0,11.728571428571428,2.712756461433208,7,1.7430873341550246,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,vibrant,,
(37)ebd4,almond shells,ti,,ppm,4.0,0.6666666666666666,1.632993161855452,6,2.041241452319315,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,vibrant,,
(31)09a4,almond hulls,al,,ppm,11.0,14.333333333333334,2.250925735484551,6,1.480872194397731,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,vibrant,,
(31)2103,almond hulls,k,,ppm,16400.0,20560.0,3000.499958340276,5,1.3864356133172888,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,vibrant,,
(31)4f76,almond hulls,mn,,ppm,7.0,11.1625,2.929620892099961,8,1.4208323033279255,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,vibrant,,
(31)f463,almond hulls,p,,ppm,468.0,714.3333333333334,230.90748508150762,6,1.0668053192228941,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,vibrant,,
(31)fb32,almond hulls,s,,ppm,172.0,263.5,45.90051353587608,8,1.993441749371347,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,vibrant,,
(31)ff2f,almond hulls,si,,ppm,11.0,18.05,3.8738869369149134,6,1.8198775841440744,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,vibrant,,
(31)cd71,almond hulls,mg,,ppm,1110.0,886.3333333333334,171.18956354482205,6,1.306543822153648,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,vibrant,,
(31)3a96,almond hulls,mn,,ppm,7.0,11.1625,2.929620892099961,8,1.4208323033279255,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,vibrant,,
(31)0574,almond hulls,na,,ppm,-220.0,-98.84,118.22794931825554,5,1.0247999791813331,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,vibrant,,
(31)fdcb,almond hulls,nd,,ppm,4.0,6.666666666666667,2.581988897471611,6,1.0327955589886446,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,vibrant,,
(c7)0f03,almond branches,mn,,ppm,33.0,28.125,3.705289012569285,4,1.3156868420959222,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,vibrant,,
(c7)15a4,almond branches,nd,,ppm,18.0,15.25,1.8929694486000914,4,1.4527439954372792,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,vibrant,,
(c7)a0ff,almond branches,s,,ppm,436.0,318.5,87.12634503983281,4,1.3486161957818938,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,vibrant,,
(c7)1321,almond branches,zn,,ppm,32.7,23.575,8.563634353084755,4,1.0655522671531434,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,vibrant,,
(24)9f55,almond shells,ca,,ppm,3460.0,2438.3333333333335,832.6684013859699,6,1.226979029066205,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(24)a0f9,almond shells,cu,,ppm,7.0,9.885714285714286,1.718942088833101,7,1.6787734179417557,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(24)8df9,almond shells,k,,ppm,20700.0,16466.666666666668,3845.863578790422,6,1.100749739715098,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(24)ab4b,almond shells,mg,,ppm,650.0,601.3333333333334,39.60134677844511,6,1.2289144341211078,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(24)95c2,almond shells,na,,ppm,111.0,-102.0,168.82179954022524,6,1.2616854018858412,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(24)6339,almond shells,nd,,ppm,11.0,8.385,2.026758495726612,6,1.2902375914612847,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(24)4cc3,almond shells,p,,ppm,872.0,669.3333333333334,167.14863644872088,6,1.2124936880884591,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(24)bad4,almond shells,s,,ppm,336.0,253.57142857142858,64.52611136291299,7,1.2774452029965042,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(24)09a9,almond shells,zn,,ppm,10.7,7.257142857142857,2.7377710781200233,7,1.2575401830971522,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(24)0a68,almond shells,ca,,ppm,3560.0,2438.3333333333335,832.6684013859699,6,1.3470748557284764,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(24)264d,almond shells,k,,ppm,21400.0,16466.666666666668,3845.863578790422,6,1.2827634762034215,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(24)b7bb,almond shells,mg,,ppm,651.0,601.3333333333334,39.60134677844511,6,1.254166100575651,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(24)cf04,almond shells,na,,ppm,118.0,-102.0,168.82179954022524,6,1.3031492413844368,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(24)eec2,almond shells,nd,,ppm,11.0,8.385,2.026758495726612,6,1.2902375914612847,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(24)4f15,almond shells,p,,ppm,847.0,669.3333333333334,167.14863644872088,6,1.062926210117021,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(24)fade,almond shells,s,,ppm,343.0,253.57142857142858,64.52611136291299,7,1.3859284178090323,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(24)9d6c,almond shells,zn,,ppm,10.7,7.257142857142857,2.7377710781200233,7,1.2575401830971522,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
(03)9388,almond hulls,cu,,ppm,11.0,7.5625,3.038767372283891,8,1.131215252392429,LOW,,mduran@lbl.gov,pass,,2026-07-08 04:06:53.485135,tiny,,
