record_id,resource_name,parameter_name,analysis_type,unit,observed_value,group_mean,group_std,group_n,z_score,severity,analyst_name,analyst_email,qc_pass,note,created_at,provider_codename,sample_date,repl_no
buty007-8d08,grape pomace,glucose_yld,,% of glucan,42.7,61.62222222222222,15.66029603152098,27,1.2082927541175241,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,maplewood,,
buty008-128b,grape pomace,glucose_yld,,% of glucan,40.1,61.62222222222222,15.66029603152098,27,1.374317712698558,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,maplewood,,
buty009-f6f6,grape pomace,glucose_yld,,% of glucan,43.0,61.62222222222222,15.66029603152098,27,1.1891360281274048,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,maplewood,,
buty058-c478,grape pomace,xylose_yld,,% of xylan,79.7,54.38461538461539,19.528209181749205,26,1.2963495208277482,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,ebony,,
buty059-af88,grape pomace,xylose_yld,,% of xylan,76.7,54.38461538461539,19.528209181749205,26,1.1427256031362194,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,ebony,,
buty060-09f3,grape pomace,xylose_yld,,% of xylan,83.3,54.38461538461539,19.528209181749205,26,1.4806982220575828,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,ebony,,
buty106-5d8b,tomato pomace,xylose_yld,,% of xylan,86.4,51.466071428571425,24.976405424361573,56,1.3986771906478825,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,oakleaf,,
buty107-4b83,tomato pomace,xylose_yld,,% of xylan,81.7,51.466071428571425,24.976405424361573,56,1.2104995918243264,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,oakleaf,,
buty272-6b9b,almond hulls,glucose_yld,,% of glucan,11.0,41.708333333333336,20.265373353157283,36,1.51531051504408,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,tiny,,
buty346-f978,walnut tree sticks,xylose_yld,,% of xylan,16.6,31.53333333333333,14.520163618745881,12,1.0284548938590496,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,energetic,,
buty347-8f10,walnut tree sticks,xylose_yld,,% of xylan,16.0,31.53333333333333,14.520163618745881,12,1.0697767422730295,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,energetic,,
buty348-e7b5,walnut tree sticks,xylose_yld,,% of xylan,16.7,31.53333333333333,14.520163618745881,12,1.0215679191233866,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,energetic,,
buty367-7ab1,almond branches,glucose_yld,,% of glucan,11.8,44.86,29.137232466201617,20,1.1346307525379662,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,vibrant,,
buty369-947d,almond branches,glucose_yld,,% of glucan,11.5,44.86,29.137232466201617,20,1.144926857370434,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,vibrant,,
buty391-1d2c,walnut shells,glucose_yld,,% of glucan,81.5,55.85333333333333,24.996567383390484,15,1.0260075422879125,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,energetic,,
buty392-448d,walnut shells,glucose_yld,,% of glucan,83.7,55.85333333333333,24.996567383390484,15,1.1140196267576323,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,energetic,,
buty393-de8d,walnut shells,glucose_yld,,% of glucan,89.0,55.85333333333333,24.996567383390484,15,1.3260487393437748,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,energetic,,
buty442-04c1,corn stover husks,xylose_yld,,% of xylan,72.5,43.68181818181818,28.29805004525288,11,1.018380481061316,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,caterpillar,,
buty466-ab89,corn stover cobs,xylose_yld,,% of xylan,68.1,35.66,28.49991033124296,10,1.1382491952768612,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,caterpillar,,
buty468-c171,corn stover cobs,xylose_yld,,% of xylan,69.3,35.66,28.49991033124296,10,1.1803545909097908,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,caterpillar,,
buty533-a4f3,olive stems / leaves,glucose_yld,,% of glucan,38.04,22.305,8.865294129356341,16,1.7748988099442142,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,excellent,,
buty534-a669,olive stems / leaves,glucose_yld,,% of glucan,33.28,22.305,8.865294129356341,16,1.237973590030998,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,excellent,,
buty843-68cd,olive pomace,glucose_yld,,% of glucan,64.64,39.11607142857143,14.65886594049402,28,1.7411939419488536,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,jaguar,,
buty844-c581,olive pomace,glucose_yld,,% of glucan,63.06,39.11607142857143,14.65886594049402,28,1.6334093420750415,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,jaguar,,
buty845-aae3,olive pomace,xylose_yld,,% of xylan,69.75,28.388928571428572,23.682038566419397,28,1.746516513456764,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,jaguar,,
buty846-ecc5,olive pomace,xylose_yld,,% of xylan,70.35,28.388928571428572,23.682038566419397,28,1.7718521701958245,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,jaguar,,
buty849-f303,olive stems / leaves,xylose_yld,,% of xylan,41.64,16.465625,11.7281694898792,16,2.1464879938616317,LOW,,akrishnamoorthy@lbl.gov,pass,,2026-07-08 04:07:07.657531,jaguar,,
