record_id,resource_name,parameter_name,analysis_type,unit,observed_value,group_mean,group_std,group_n,z_score,severity,analyst_name,analyst_email,qc_pass,note,created_at,provider_codename,sample_date,repl_no
(03)b1b0,almond hulls,moisture,,% total weight,15.44,13.947083333333333,1.420849345398322,24,1.0507212967382835,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,tiny,,
(03)ca72,almond hulls,total solids,,% total weight,84.56,86.05291666666666,1.4208493453983186,24,1.0507212967382809,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,tiny,,
(04)3ab3,spent oak chips,ash solids,,% total weight,0.52,0.585,0.049699094559156706,6,1.3078709094514913,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,maplewood,,
(04)4ab5,spent oak chips,moisture,,% total weight,7.19,8.865,1.6625372176285251,6,1.0074962426340457,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,maplewood,,
(04)93fb,spent oak chips,total solids,,% total weight,92.81,91.13499999999999,1.662537217628524,6,1.0074962426340532,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,maplewood,,
(04)986f,spent oak chips,ash solids,,% total weight,0.66,0.585,0.049699094559156706,6,1.5090818185978772,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,maplewood,,
(04)f5c2,almond shells,volatile solids,,% total weight,87.86,84.17190476190477,3.346230146071272,21,1.1021642496483195,LOW,,,pass,,2026-07-08 04:06:43.204819,capstan,,
(11)2322,pistachio hulls,total solids,,% total weight,19.66,15.761666666666665,2.9618063182231644,6,1.3162013023430947,LOW,,,pass,,2026-07-08 04:06:43.204819,tripod,,
(11)a4db,pistachio hulls,moisture,,% total weight,80.34,84.23833333333333,2.9618063182231635,6,1.316201302343092,LOW,,,pass,,2026-07-08 04:06:43.204819,tripod,,
(11)f212,pistachio hulls,volatile solids,,% total weight,14.97,12.780000000000001,1.3091982279242518,6,1.6727795327620238,LOW,,,pass,,2026-07-08 04:06:43.204819,tripod,,
(13)0c41,grape pomace,moisture,,% total weight,64.98,58.01083333333333,5.324932264657308,24,1.3087803412866852,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,ebony,,
(13)124d,almond shells,ash solids,,% total weight,3.64,5.023333333333333,1.298219293237215,21,1.0655621438839347,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,humorous,,
(13)12b9,almond shells,moisture,,% total weight,19.06,10.805714285714284,3.7283086935346055,21,2.2139491101152027,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,humorous,,
(13)1443,almond shells,volatile solids,,% total weight,77.18,84.17190476190477,3.346230146071272,21,2.0894871113733138,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,humorous,,
(13)1b04,almond shells,moisture,,% total weight,19.0,10.805714285714284,3.7283086935346055,21,2.197856022087367,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,humorous,,
(13)2169,almond shells,moisture,,% total weight,19.05,10.805714285714284,3.7283086935346055,21,2.211266928777231,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,humorous,,
(13)61f0,grape pomace,total solids,,% total weight,35.02,41.98916666666667,5.324932264657307,24,1.308780341286684,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,ebony,,
(13)6c40,almond shells,ash solids,,% total weight,3.71,5.023333333333333,1.298219293237215,21,1.011642131783784,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,humorous,,
(13)710c,almond shells,volatile solids,,% total weight,77.31,84.17190476190477,3.346230146071272,21,2.050637422521928,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,humorous,,
(13)7fbd,almond shells,total solids,,% total weight,80.94,89.19428571428571,3.7283086935346095,21,2.2139491101152005,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,humorous,,
(13)9fd0,grape pomace,volatile solids,,% total weight,33.1,38.82666666666667,5.224113543831199,24,1.0961987366122428,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,ebony,,
(13)bae5,almond shells,total solids,,% total weight,80.95,89.19428571428571,3.7283086935346095,21,2.2112669287772264,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,humorous,,
(13)dda4,almond shells,total solids,,% total weight,81.0,89.19428571428571,3.7283086935346095,21,2.1978560220873637,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,humorous,,
(13)df67,grape pomace,volatile solids,,% total weight,30.89,38.82666666666667,5.224113543831199,24,1.5192370150603902,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,ebony,,
(13)f8f6,almond shells,volatile solids,,% total weight,77.29,84.17190476190477,3.346230146071272,21,2.0566142977298325,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,humorous,,
(14)bd40,peach pomace,ash solids,,% total weight,0.33,0.31666666666666665,0.011547005383792533,3,1.1547005383792524,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,rushes,,
(14)e88d,peach pomace,total solids,,% total weight,2.92,2.8633333333333333,0.05131601439446886,3,1.1042686641847717,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,rushes,,
(14)eb17,peach pomace,volatile solids,,% total weight,2.61,2.5466666666666664,0.055075705472861065,3,1.149932312070726,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,rushes,,
(14)ff20,peach pomace,moisture,,% total weight,97.08,97.13666666666667,0.0513160143944734,3,1.1042686641847779,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,rushes,,
(15)19f2,almond hulls,total solids,,% total weight,84.56,86.05291666666666,1.4208493453983186,24,1.0507212967382809,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,humorous,,
(15)2ca0,walnut shells,ash solids,,% total weight,1.06,1.1816666666666666,0.0919601362910401,6,1.3230370416330153,LOW,,,pass,,2026-07-08 04:06:43.204819,cutaway,,
(15)77aa,walnut shells,volatile solids,,% total weight,88.91,89.485,0.5237079338715382,6,1.0979402121126662,LOW,,,pass,,2026-07-08 04:06:43.204819,cutaway,,
(15)9820,olive stems / leaves,moisture,,% total weight,46.17,49.830000000000005,3.1772787098396007,3,1.1519291614756617,LOW,,,pass,,2026-07-08 04:06:43.204819,excellent,,
(15)9a81,almond hulls,total solids,,% total weight,84.51,86.05291666666666,1.4208493453983186,24,1.0859115159982828,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,humorous,,
(15)9e63,almond hulls,moisture,,% total weight,15.44,13.947083333333333,1.420849345398322,24,1.0507212967382835,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,humorous,,
(15)bdac,walnut shells,ash solids,,% total weight,1.07,1.1816666666666666,0.0919601362910401,6,1.2142942710878357,LOW,,,pass,,2026-07-08 04:06:43.204819,cutaway,,
(15)dec9,olive stems / leaves,volatile solids,,% total weight,51.32,47.669999999999995,3.2128647652834688,3,1.1360577760508288,LOW,,,pass,,2026-07-08 04:06:43.204819,excellent,,
(15)e432,olive stems / leaves,total solids,,% total weight,53.83,50.169999999999995,3.1772787098395985,3,1.1519291614756626,LOW,,,pass,,2026-07-08 04:06:43.204819,excellent,,
(15)efa4,almond hulls,moisture,,% total weight,15.49,13.947083333333333,1.420849345398322,24,1.085911515998288,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,humorous,,
(15)f3b8,olive stems / leaves,ash solids,,% total weight,2.15,2.5033333333333334,0.35004761580866867,3,1.0093864873699376,LOW,,,pass,,2026-07-08 04:06:43.204819,excellent,,
(23)3d5d,peach screening waste,volatile solids,,% total weight,2.22,2.4533333333333336,0.23007245235649884,3,1.0141732786495525,LOW,,xkang2@lbl.gov,pass,,2026-07-08 04:06:43.204819,rushes,,
