record_id,resource_name,parameter_name,analysis_type,unit,observed_value,group_mean,group_std,group_n,z_score,severity,analyst_name,analyst_email,qc_pass,note,created_at,provider_codename,sample_date,repl_no
(03)0161,almond hulls,la,,ppm,0.0,43.75,18.896333733595746,8,2.3152639351525095,LOW,,xkang2@lbl.gov,provisional,,2026-07-08 04:06:53.844185,tiny,,
(03)0663,almond hulls,rb,,ppm,7.0,16.0,6.194755846681934,17,1.452841762088271,LOW,,xkang2@lbl.gov,provisional,,2026-07-08 04:06:53.844185,tiny,,
(03)1c00,almond hulls,zn,,ppm,25.0,15.529411764705882,2.624824924133596,17,3.608083780452586,MEDIUM,,xkang2@lbl.gov,provisional,,2026-07-08 04:06:53.844185,tiny,,
(03)1dc2,almond hulls,mo,,ppm,10.0,5.333333333333333,2.3380903889000244,6,1.9959308197927037,LOW,,xkang2@lbl.gov,provisional,,2026-07-08 04:06:53.844185,tiny,,
(03)2448,almond hulls,th,,ppm,76.0,41.94117647058823,10.009186956462136,17,3.4027562555840456,MEDIUM,,xkang2@lbl.gov,provisional,,2026-07-08 04:06:53.844185,tiny,,
(03)3e42,almond hulls,s,,ppm,359.0,285.47058823529414,62.70278866113016,17,1.172665735204967,LOW,,xkang2@lbl.gov,provisional,,2026-07-08 04:06:53.844185,tiny,,
(03)645d,almond hulls,ca,,ppm,3850.0,3075.294117647059,625.5409423756652,17,1.2384575171223495,LOW,,xkang2@lbl.gov,provisional,,2026-07-08 04:06:53.844185,tiny,,
(03)663c,almond hulls,si,,ppm,17900.0,4438.823529411765,4174.375525681867,17,3.224716221090197,MEDIUM,,xkang2@lbl.gov,provisional,,2026-07-08 04:06:53.844185,tiny,,
(03)68d1,almond hulls,u,,ppm,21.0,13.058823529411764,2.6332154354347397,17,3.0157716545806137,MEDIUM,,xkang2@lbl.gov,provisional,,2026-07-08 04:06:53.844185,tiny,,
(03)6a5b,almond hulls,fe,,ppm,527.0,356.2352941176471,96.86300210333452,17,1.762950787961117,LOW,,xkang2@lbl.gov,provisional,,2026-07-08 04:06:53.844185,tiny,,
(03)79f8,almond hulls,ti,,ppm,344.0,227.0,51.264022471905186,8,2.282302370324546,LOW,,xkang2@lbl.gov,provisional,,2026-07-08 04:06:53.844185,tiny,,
(03)82cf,almond hulls,p,,ppm,529.0,1079.7058823529412,267.07881905578984,17,2.0619601520624697,LOW,,xkang2@lbl.gov,provisional,,2026-07-08 04:06:53.844185,tiny,,
